site_no	date_time	tz_cd	dd	accuracy_cd	value	prec	remark
15N	14N	6S	2N	5S	16N	1S	1S
0214676115	20061005183000	EDT	2	1	81	2	
0214676115	20061005184500	EDT	2	1	80	2	
0214676115	20061005190000	EDT	2	1	79	2	
0214676115	20061005191500	EDT	2	1	79	2	
0214676115	20061005193000	EDT	2	1	78	2	
0214676115	20061005194500	EDT	2	1	79	2	
0214676115	20061005200000	EDT	2	1	79	2	
0214676115	20061005201500	EDT	2	1	80	2	
0214676115	20061005203000	EDT	2	1	80	2	
0214676115	20061005204500	EDT	2	1	80	2	
0214676115	20061005210000	EDT	2	1	80	2	
0214676115	20061005211500	EDT	2	1	78	2	
0214676115	20061005213000	EDT	2	1	77	2	
0214676115	20061005214500	EDT	2	1	77	2	
0214676115	20061005220000	EDT	2	1	78	2	
0214676115	20061005221500	EDT	2	1	78	2	
0214676115	20061005223000	EDT	2	1	78	2	
0214676115	20061005224500	EDT	2	1	78	2	
0214676115	20061005230000	EDT	2	1	78	2	
0214676115	20061005231500	EDT	2	1	79	2	
0214676115	20061005233000	EDT	2	1	79	2	
0214676115	20061005234500	EDT	2	1	80	2	
0214676115	20061006000000	EDT	2	1	79	2	
0214676115	20061006001500	EDT	2	1	80	2	
0214676115	20061006003000	EDT	2	1	80	2	
0214676115	20061006004500	EDT	2	1	81	2	
0214676115	20061006010000	EDT	2	1	82	2	
0214676115	20061006011500	EDT	2	1	82	2	
0214676115	20061006013000	EDT	2	1	83	2	
0214676115	20061006014500	EDT	2	1	83	2	
0214676115	20061006020000	EDT	2	1	83	2	
0214676115	20061006021500	EDT	2	1	83	2	
0214676115	20061006023000	EDT	2	1	82	2	
0214676115	20061006024500	EDT	2	1	83	2	
0214676115	20061006030000	EDT	2	1	83	2	
0214676115	20061006031500	EDT	2	1	83	2	
0214676115	20061006033000	EDT	2	1	83	2	
0214676115	20061006034500	EDT	2	1	83	2	
0214676115	20061006040000	EDT	2	1	82	2	
0214676115	20061006041500	EDT	2	1	83	2	
0214676115	20061006043000	EDT	2	1	83	2	
0214676115	20061006044500	EDT	2	1	82	2	
0214676115	20061006050000	EDT	2	1	82	2	
0214676115	20061006051500	EDT	2	1	81	2	
0214676115	20061006053000	EDT	2	1	80	2	
0214676115	20061006054500	EDT	2	1	80	2	
0214676115	20061006060000	EDT	2	1	78	2	
0214676115	20061006061500	EDT	2	1	77	2	
0214676115	20061006063000	EDT	2	1	77	2	
0214676115	20061006064500	EDT	2	1	77	2	
0214676115	20061006070000	EDT	2	1	76	2	
0214676115	20061006071500	EDT	2	1	75	2	
0214676115	20061006073000	EDT	2	1	74	2	
0214676115	20061006074500	EDT	2	1	73	2	
0214676115	20061006080000	EDT	2	1	72	2	
0214676115	20061006081500	EDT	2	1	72	2	
0214676115	20061006083000	EDT	2	1	72	2	
0214676115	20061006084500	EDT	2	1	72	2	
0214676115	20061006090000	EDT	2	1	73	2	
0214676115	20061006091500	EDT	2	1	74	2	
0214676115	20061006093000	EDT	2	1	74	2	
0214676115	20061006094500	EDT	2	1	74	2	
0214676115	20061006100000	EDT	2	1	74	2	
0214676115	20061006101500	EDT	2	1	73	2	
0214676115	20061006103000	EDT	2	1	72	2	
0214676115	20061006104500	EDT	2	1	70	2	
0214676115	20061006110000	EDT	2	1	68	2	
0214676115	20061006111500	EDT	2	1	67	2	
0214676115	20061006113000	EDT	2	1	65	2	
0214676115	20061006114500	EDT	2	1	63	2	
